question;class
здравствуйте. мой сын учится в 11 классе, он инвалид-колясочник, собирается поступать к вам по особой квоте на лингвистику, перевод и переводоведение. возможно ли получение высшего образование в Вашем ВУЗе с минимальным количеством выездов из дома (так как огромная проблема привезти)? есть ли доступная среда  в корпусах для лиц передвигающихся на колясках? есть ли какие либо дистанционные курсы для поступающих?  спасибо. ;ORG
Добрый день, закончил Пермский строительный колледж по профессии ,,Устройство и реконструкция зданий и сооружений». Могу ли я поступить на строительный факультет без повторной сдачи ЕГЭ или вступительных? ;ENTER
Добрый день. Подскажите пожалуйста, возможно ли перевестись к вам из другого института? ;ENTER
Добрый день,я бы хотела спросить,а у вас есть факультет химической технологии органических веществ? ;ORG
Здравствуйте,могу ли я перевестись на биотехнологию с химической технологии?Какие условия если что? ;ENTER
Будут ли бюджетные места на Экономике в 2019 году? ;ENTER
Не сдал вовремя фото при поступлении, сейчас зачетки уже готовы, но моя без фото   Куда именно донести фото, уже в деканате на комплексе, где выдают зачеьки или куда-то в главный корпус? ;DOC
Сколько стоят подготовительные курсы? ;ENTER
Где посмотреть проходные баллы? ;RANG
Актуальны ли сейчас образцы вступительных экзаменов проводимых пнипу которые в открытом доступе на сайте?  На все техн. специальности необходима профильная математика, а её пробного нет. ;ENTER
Как проходит конкурс внутри направления по экономике? ;RANG
Здравствуйте, я обучаюсь В ПНИПУ на аэрокосмическом факультете, очно(4 курс, бюджет). Могу ли я заочно поступить на горно-нефтяной факультет и обучатся на двух специальностях одновременно? ;ENTER
Здравствуйте! Сын учится на ХТФ по договору с Метафраксом. Может ли он получать социальную стипендию, т.к. семья является малоимущей? ;PRIV
Есть ли возможность перевестись на первом курсе, после первой сессии или нужно ждать окончания первого курса? Перевод планируется на ту же специальность. Из Альметьевского Государственного Нефтяного Института в ПНИПУ ;ENTER
Здравствуйте,где я могу найти информацию каким образом проходит конкурс внутри направления? ;RANG
Возможно ли поступление в ПНИПУ с аттестатом об окончании средне специального образования (техникума) без сдачи экзаменов ЕГЭ? ;ENTER
Какие профильные предметы нужны (ЕГЭ) для поступления на дизайнера (Кафедра Дизайн, графика и начертательная геометрия (ДГНГ))? ;ENTER
Здравствуйте, А где можно найти актуальную информацию о вакантных местах для перевода? На сайте информация есть только за 2017 год ;ENTER
Добрый день. Я хотел бы узнать, каким образом осуществляется поступление на строительный факультет вашего университета после обучения в строительном колледже (обучение идёт в течении 3 года 10 мес.) и на какой курс? ;ENTER
Человек 25 лет. За спиной училища проф закончено. Хочет поступить вуз заочно. Что нужно будет, сдавать внутренний экзамен у вас? И где можно по смотреть хоть какие примерно там задание будут чтоб подготовится. Спасибо. ;ENTER
Здравствуйте, я закончила строительный колледж в 2002 году, можно поступить на строительный факультет на ускоренное обучение (заочное)? ;ENTER
Есть ли при Политехе колледж , куда можно поступить после 9 класса ? ;ENTER
здравствуйте , куда обращаться,чтобы написать заявление на получение места в общежитие ?  я являюсь малоимущей ,проблема с жильем,(прописана в перми ,но по месту жительства не проживаю) , есть ли шанс получить место в общежитии ? учусь на очном отделении ;HOST
Добрый день. Когда можно получить студенческий билет и зачетную книжку? Электротехнический факультет, заочное отделение. ;ORG
Здравствуйте!  есть ли возможность поступить отдельно на военную кафедру?  какая форма обучения и что для этого необходимо(либо ресурс где с этим можно ознакомиться). ;ORG
Добрый день! Скажите,пожалуйста, есть ли возможность поступить на заочку в этом месяце(сентябрь)? Спасибо. ;ENTER
Добрый день! Возможно ли восстановиться в 2019году на заочную форму обучения на горно-нефтяной факультет,спец-ть РМПИ если до этого училась на очной форме обучения и была отчислена в 2011 году(диплом о незаконченном образовании 2,5 курса)? ;ENTER
Скажите пожалуйста,для получения губернаторской стипендии в сумме 5750 рублей по в факультете Химическая технология свыше 225 баллов, ( у студентки 244),  какие документы необходимы или стипендия выплачивается автоматически? Не надо ли студенту обратиться куда нибудь? Я как мама студентки, переживаю, чтобы не упустить сроки подачи заявления или заявки. ;ORG
Здравствуйте, в этом году сдавала вступительные экзамены, но оригиналы документов не успела принести. Есть возможность поступить? ;ORG
Здравствуйте, можно ли поступить на очную форму обучения на Автодорожный факультет на автомобильный сервис если есть СПО техник-механик по обслуживанию автотранспорта? ;ENTER
Почему так и не работает личный кабинет студента? ;ORG
Можно ли поступить на заочную форму обучения Маркетинг, если есть СПО Менеджер по продажам без сдачи ЕГЭ? ;ENTER
До какого числа нужно подать документы на заочную форму обучения? ;DOC
Здравствуйте, где можно посмотреть приказ о восстановлении на очную форму обучения? ;DOC
Какова вероятность переселится из одного общежития в другое и как это сделать? ;HOST
Здравствуйте. Скажите, результаты ЕГЭ по каким предметам нужны для поступления на промышленный дизайн? ;ENTER
Когда и сколько получают стипендию студенты первого курса? ;ORG
Я учусь очно Сейчас в октябре я ухожу в армию и беру Академ, можно ли через год восстановится  и перейти на очно-заочно? ;ENTER
Здравствуйте! А санаторий-профилакторий платный или нет? ;ORG
Здравствуйте. Когда можно будет посмотреть списки групп? ;RANG
Какие предметы нужны к сдаче ЕГЭ для поступления на факультет 10.05.03?  Какой минимальный балл ЕГЭ нужен для поступления?  Предметы для сдачи ЕГЭ совпадают с вступительными экзаменами? ;ENTER
Какие документы необходимы для восстановления? ;DOC
Сколько стоят курсы ? ;ENTER
Где и когда можно получить студенческий билет? ;ORG
Добрый день, хотелось бы узнать нужно ли сдавать профиль математики, чтобы поступить на управление персоналом организации на заочное обучение? и есть ли конкурс на эти места среди тех, кто поступает туда заочно? ;ENTER
Сколько надо баллов, чтоб поступить на СДМ на базе 11 класса? ;RANG
Начало занятий 3 сентября т.е сначала пары, потом линейка? ;ORG
Учатся ли 3 сентября первокурсники? ;ORG
Добрый день. Хочу узнать я поступил в колледж на специальность социальная работа, если ли у меня перспектива потом поступить в ПНИПУ на гуманитарный факультет, направления социология?Какие ЕГЭ нужно будет сдавать или у вас есть какие-либо вступительные испытания? ;ENTER
Когда и где получать студенческий? ;ORG
перевелась с очки на заочку . 27 августа писала заявление. когда и где можно узнать зачислили ли меня? ;RANG
Здравствуйте, можно узнать в какую группу я поступила, гуманитарный факультет, магистратура заочное, экономика? (просто списков по группам до сих пор нет) ;RANG
Доброе утро, подскажите пожалуйста как узнать в какую группу меня зачислили и где можно узнать расписание на 3 сентября? Поступила на ЭТФ(АТ). ;RANG
У вас есть специальность горный инженер (шифр21.05.06).Я хотел бы узнать, какую физику, математику надо сдавать в ЕГЭ? Профильную или базовую.И если внутри вашего Пермского политеха экзамены, которые надо сдавать при поступлении? ;ENTER
Возможно ли перейти с очного обучения на заочное? ;ENTER
Можно ли съехать с общежития и вернуть деньги? ;HOST
Можно ли заселиться в общежитие в выходные? ;HOST
ЗДРАВСТВУЙТЕ, СКАЖИТЕ,  1 СЕНТЯБРЯ БУДУТ ЗАНЯТИЯ? ;ORG
Первокурсники учатся 3 сентября? ;ORG
Добрый день! Есть ли у вас услуга, для людей с высшим образованием,  как переподготовка или переквалификация? Если да, то сколько по времени  и стоимость обучения? ;ORG
Здравствуйте, а 1 сентября что-то будет для первокурсников?  Когда будет приказ о зачислении ГУМ ПР,чтобы посмотреть расписание занятий? ;ORG
Если я не с мог явиться в день заселения, то я могу заселиться в другой день? ;HOST
Где можно сделать временную прописку? Заранее спасибо ;HOST
Когда нужно получать студенческий билет, и как узнать в какой группе ты находишься? ;ORG
Здравствуйте, поступил на ГНФ-НГД. Нас 3 группы, где я могу узнать, в какой я группе?  НГД-18-1б  НГД-18-2б  НГД-18-3б ;ORG
Добрый день!А если человек закончил школу с золотой медалью, но пошёл учиться на платной основе, есть какие-нибудь скидки за счёт медали? ;PRIV
Здравствуйте! Какова вероятность заселения в общежитие? Все ли первокурсники будут заселены? Если нет, то когда это выяснится? ;HOST
Обязательно ли оставаться в общежитии после заселения? Или можно будет уехать и вернуться в другой день? ЭТФ КОБ ;HOST
Здравствуйте, можно узнать, когда будут проходить заселения в общежития первокурсников магистратуры, и можно ли где-то посмотреть списки тех, кого заселяют? ЭТФ, РИС, бюджет. ;HOST
Когда ответит телефон по вопросам подготовительных курсов? ;ORG
Скажите пожалуйста, а пары будут 3-го сентября? ;ORG
Здравствуйте. Скажите, пожалуйста, оплата общежития в день заселения проводится в самом общежитии или придется ехать в главный корпус? Можно ли будет оплачивать проживание у коменданта в остальное время? Обязательно ли оставаться в общежитии после заселения? Или можно будет уехать и вернуться в другой день? ЭТФ КОБ 1 курс очка бюджет ;HOST
Добрый день. На вопрос который был написан про общежитие, да студентка первого курса. Заселение в общежитие в Лысьвенском филиале будет проходить 31 августа правильно понимаю? ;HOST
Здравствуйте, поступила на заочную форму АДФ, мои дальнейшие действия? Будет ли собрания для заочников? ;ORG
Здравствуйте, имея среднее профессиональное образование технология литейного производства, можно ли поступить на ТАМП на ускоренное обучение ? ;ENTER
Когда проходить мед осмотр для заселения в общежитие? ;HOST
Можно ли моему брату заплатить за общежитие или нужно лично ? ;HOST
Здравствуйте,можно узнать, в какую группу я поступила?(ГумФ,экономика) ;ORG
Здравствуйте, можно узнать группу, в которую я поступил.? ;ORG
Добрый день, подскажите в какую группу я поступил, и когда начнётся установочная сессия? ;ORG
Добрый день, в какую группу я поступил? ;ORG
Добрый день. Подскажите есть ли ещё возможность подать документы/поступить на заочное отделение? Интересует направление - техносферная безопасность. ;DOC
Если флюорография пройдена 2017.12.31, то нужно её переделывать или нет? ( Для заселения в общежитие) ;HOST
Можно узнать время до скольки можно заплатить за общежитие в пятницу ? ;HOST
Добрый день.  Ситуация такая, не закончила техникум (ушла с 3 курса), так как поздно поняла, что это не то, что мне нужно в дальнейшем. Могу ли я сдать в следующем году ЕГЭ и поступить к вам, если наберу приличное кол. баллов на бюджет? ;ENTER
где можно посмотреть приказы о зачислении? ;RANG
Добрый день! Подскажите пожалуйста, в какую группу я поступил?(АКФ-ТПМП, По целевому приему) ;ORG
Скажите пожалуйста, когда будет распределение по группам экономика, заочное, контракт? ;ORG
Здравствуйте хотела бы уточнить заселение в общежитие 31 августа будет? ;HOST
Здравствуйте. Скажите,если я закончила нефтяной колледж по специальности прикладная геодезия. Я могу только на эту специальность поступить или нет? И надо ли сдавать вступительные экзамены? ;ENTER
Куда подходить за общежитием? Ещё не поздно сдать заявление? ;HOST
Возьмут ли в общежитие без флюрографии за 2018, если я ее пройду, но не успею взять результат? ;HOST
Здравствуйте. Где можно узнать в какую группу зачислили? ;ORG
Почему меня нет в списке зачисленных на ГумФ Экономика заочная магистратура (контракт)? ;RANG
Здравствуйте, скажите пожалуйста,в какую группу я поступила?(ГумФ,экономика,очное) ;ORG
Где найти приказы о зачислении чтобы узнать группу? ;RANG
Добрый день! Подскажите пожалуйста,в какую группу я поступила?(ГумФ,экономика,очное) ;ORG
Добрый вечер. Какого числа выдадут первокурсникам зачетную книжку и студ.билет? ;ORG
Здравствуйте! Нужна ли медсправка 086/у при заключении договора (контракт) по заочной форме обучения? При подаче документов на поступление ничего не говорилось. Спасибо. ;DOC
Подскажите, в школе у меня было освобождение от физической культуры по состоянию здоровья. Куда и какие документы мне нужно предоставить для освобождения от этого предмета в университете? ;DOC
Здравствуйте! Контрактники оплачивают общежитие через сбербанк. Реквизиты на оплату нужно брать в головном корпусе или дадут на собрании? Собрание 27.08.18.Есть ли в студгородке сбербанк или его терминалы? ;ENTER
1 сентября будет какая-то программа для первокурсников ? ;ORG
Первокурсникам обязательно идти 1 сентября ? ;ORG
какие экзамены нужно сдать чтобы поступить гуманитарный факультет? ;ENTER
Зачислен на ЭТФ-АСУ по ускоренной программе(заочное отделение). Моя группа АСУ-18-1бз или АСУ-18-1бзу ? ;ORG
Можно в процессе учебы донести медицинскую справку? ;DOC
Здравствуйте! Где можно узнать в какую группу меня зачислили? ;ORG
Можно узнать время до скольки можно заплатить за общежитие ? ;HOST
Можете ли вы объяснить,как распределяются общежития (ФПММ)? ;HOST
Добрый день! Скажите пожалуйста,будут ли стоять пары 3 сентября у первокурсников? ;ORG
Сколько сейчас стоит проживание в общежитии для студентов второго курса? Бюджет ;HOST
Здравствуйте!   1.Можно ли заранее, т. е. до заселения, оплатить за  общежитие?   2. Может ли это сделать мой родственник без моего присутствия? ;HOST
Здравствуйте,а у вас есть подготовка по специальности Стрелково-пушечное,артиллерийское и ракетное вооружение или вооружение и военная техника? ;ORG
Получается вместо первого сентября в этом году нужно приходить 3 сентября? ;ORG
Будут ли стоять пары 3 сентября? ;ORG
Если 27 решил не оставаться в общежитии, то какого числа нужно приехать обратно ? К 1 сентября ? ;HOST
Здравствуйте! Когда закончится приём документов и последняя сдача экзаменов? ;DOC
Когда день знаний и начало учёбы ? Спасибо ;ORG
Во время поступления сдала в приемную комиссию 6 фотографий. Для заселения в общежитие ещё надо или этих будет достаточно? ;HOST
Здравствуйте, я поступил на первый курс магистратуры ЭТФ, РИС, на бюджетной основе. На зачислении не дали никакой информации. В связи с этим у меня вопросы. Где, когда и какие будут еще мероприятия, которые нужно посетить, чтобы не пропустить никакой информации? Где и когда будет собрание первокурсников магистров ЭТФ, РИС, где и когда можно будет узнать список заселенных в общежитие, и когда будет происходить само заселение? ;ORG
Какие бытовые приборы можно брать в общежитие? ;HOST
В каких числах платят стипендию ? ;ORG
Здравствуйте, когда будет традиционный день первокурсника и когда начало учёбы? ;ORG
Где находится корпус В? ;ORG
Для заселения в общежитие обязательно цветные фото или можно черно-белые? ;HOST
Ещё не поздно сдать заявление на общежитие? ;HOST
Имеется ли в общежити интернет и нужно ли за него будет платить отдельно? ;HOST
можно узнать номер телефона приемной комиссии Автодорожного фак?! ;ORG
Помогите, если сможете пожалуйста. На собрании 2 августа СФ, мне сказали, что 28 августа будет заселение в общежитие, но на сайте написано, что 29 августа. Так когда всё-таки приезжать на заселение? ;HOST
Как называется группа на электротехническом факультете по направлению АСУ(Заочка). Не могу найти расписание занятий для нёё. Или ещё нет расписания для этого факультета? ;ORG
Где находится деканат ЭТФ и как с ним можно связаться? ;ORG
Добрый день, можно узнать график работы деканата? ;ORG
По физике не набрал минимум значит не поступил? ;ENTER
Здравствуйте! А когда будет собрание первокурсников с ГНФ? Направление ГНГ ;ORG
Добрый день. Во какое время будут выложены приказы о зачислении, ГНФ, заочно, контракт? Спасибо. ;RANG
Во сколько и когда будет проходить собрание для первокурсников информационных систем и технологий ФПММ ? ;ORG
Добрый день, необходимо ли сдавать дополнительно математику для поступления на направление Экономика в 2019 году или достаточно ЕГЭ? ;ENTER
Здравствуйте, как узнать дали ли общежитие (магистратура, этф, кпи)? Когда заселение у магистров? ;HOST
Можно поинтересоваться, 27 числа будет заселение в общежития, необходима справка из медпункта и квитанция об оплате,где заключается договор? Заранее спасибо ;HOST
Можно ли в собой в общежитие взять электрическую плитку? ;HOST
Добрый вечер,нужно ли сдавать дополнительно математику на направление Экономика или достаточно ЕГЭ (математика профиль., русский язык, обществознание)? ;ENTER
А можно узнать какого числа заселение в общежитие у первокурсников Электротехнического факультета? ;HOST
Здравствуйте, почему меня нет выписках, хотя я должна была быть зачислена ? ;RANG
Где посмотреть  результаты экзаменов ? ;ENTER
Сроки поступления не продлили на магистратуру? ;ENTER
Зачисление на заочную магистратуру Гум Экономика нефти и газа в 15:00 или 16:30? ;ORG
Добрый вечер, с какого числа начинаются  занятия и заочников 1-ого курса электро-технического факультета? ;ORG
Здравствуйте, будет ли проходить какое-то собрание о зачислении, для заочников на электротехе? ;ORG
Где будет проходить собрание для первокурсников мехонико-технологического факультета? ;ORG
Как узнать где предоставили общежитие ?(ФПММ) ;HOST
Добрый день! Смотрел расписание, но там нет АКФ. Списки ещё не дополнены? И ещё вопрос, в списках зачисленных тоже пусто. ;ORG
Добрый день. Во сколько и где завтра будет зачисление на заочное отделение, контракт, горно-нефтяной факультет? Спасибо. ;ORG
Не смогла дозвониться до ГУМ. Факультета. Можете ли вы подсказать, во сколько завтра будет зачисление на заочное отделение? Гуманитарный факультет, экономика.   Спасибо. ;ORG
Здравствуйте, у меня 2 вопроса. Первый, поступила на заочное отделение, уведомление о сессии на рабочее место высылает университет или его нужно отдельно заказывать? Второй, как узнать в какую группу меня зачислили при условии, что их несколько. Заранее спасибо! ;ORG
Здравствуйте, когда будут приказы о зачислении и приказы о заселении в общежитие, и где их можно будет увидеть? Факультет ЭТФ, направление РИС ;RANG
Какие документы нужны в день заселения в общежитие? ;HOST
Здравствуйте. У меня высшее педагогическое образование(1995 год). Могу я получить дополнительное образование на электротехническом факультете? Если да, то срок обучения и стоимость интересует. ;ENTER
Здравствуйте, поступила на заочное, оплатила. На зачисление надо приходить 21.08 или нет?  Если надо, то во сколько, куда и что с собой брать?  Спасибо за ответ. ;ORG
Оплата общежития возможна только в день заселения? ;HOST
Здраствуйте, можно ли пройти мед. осмотр до заселения в общежитие? ;HOST
Здравствуйте, хотим посещать подготовительные курсы к ЕГЭ по физике.  Желательно 1 раз в неделю, лучше в выходной. Сколько стоят курсы? Где проходят в главном корпусе или на комплексе? ;ENTER
Нужно ли привозить с собой в общежитие постельное белье? ;HOST
До какого числа можно забрать документы, если не поступил? ;DOC
Здравствуйте,где нужно получить квитанцию на оплату общежития?    И,в списке докуметах указано принести результаты флюорографии за 2018 год,можно ли принести результаты конца 2017? ;HOST
Предоставляется ли договорникам общежитие? ;HOST
Списков поступивших на заочное отделение ещё нет, а заплатить нужно до 20 августа? Или после появления результатов о зачислении оплачивать? ;ENTER
Доброе утро! Мой сын Солодянкин Андрей Константинович сдавал экзамены в вашем Университете на Автодорожный факультет (Строительство), по контракту, заочная форма. Набрал 140 баллов. Но почему то перечень списков по данному факультету не открывается. Может быть группа не набралась? Как узнать, поступил он или нет? ;RANG
Если в списке поступающих находишься в Прочие это значит не поступил? ;RANG
Добрый день!  Хотела бы уточнить, у меня оконченное высшее экономическое образование, при поступлении на заочную форму обучения на Строительный факультет, время обучения составит 5 лет? ;ENTER
заселение в общежитие назначено на 27 августа, можно ли заселиться в общежитие раньше или нет? ;HOST
Когда будет список поступивших в 2018? ;RANG
Как работает приёмная комиссия в субботу? ;ENTER
На заочку уже никак не поступить? ;ENTER
Даже платно нельзя поступить на ИВТ? Если недобор по Алгебре.  А куда то хоть можно поступить, если недобор только по ней? ;ENTER
И что если по Алгебре, написал на 25 баллов, (недобор). Остальные нормально (Физика, История, Обществознание), можно ли поступить на АйТишника? ;ENTER
До какого числа можно еще подать заявление на очку? ;DOC
Здравствуйте! До какого числа нужно оплатить контракт, магистратура,заочное отделение?…гуманитарный факультет ;ENTER
Приёмная комиссия  работает  по прежнему расписанию? ;ENTER
Здравствуйте! Можно ли донести медсправку после зачисления в магистратуру? ;DOC
30 августа пригласили на собрание первокурсников, в этот же день надо будет пройти медосмотр и заселиться в общежитие. Надо ехать сразу со всеми вещами? ;ORG
Здравствуйте. Набрал 80 баллов, можно ли поступить на заочное платное обучение на любой факультет, где есть недобор , либо кто то не смог внести оплату до 20 августа? ;ENTER
Какого числа будет зачисление на контракт в магистратуру по экономике? ;ORG
Нужен ли оригинал дркумента при поступлении на заочное по контракту? ( по баллам на контракт прошёл) ;DOC
Можно ли оплатить общежитие после заселения в тот же день? ;HOST
А можно узнать во сколько будет зачисление 21 августа на заочку? И обязательно нужно присутствовать? ;ORG
Что делать если не набрана группа на заочное? ;ORG
Есть ли в общежитиях замки на дверях жилых комнат? ;HOST
Здравствуйте.Скажите, если по баллам не прошел на один факультет  на заочное платное обучение, то можно ли поступить на другой, где есть недобор? ;ENTER
В каком кабинете искать декана и до скольки он обычно присутствует? Необходима его подпись ;ORG
Если не оплатить до 20-го числа контракт, то уже не будешь зачислен? ;ENTER
Медосмотр для заселения в общежитие нужно каждый год проходить или только первокурсникам? ;HOST
Здравствуйте. Заочники должны присутствовать 21 августа на зачислении? ;ORG
Здравствуйте, до какого числа можно внести оплату за обучение? ;ENTER
Здравствуйте, когда состоится конкурсное зачисление в магистратуру(бюджет, аэрокосм) и надо ли приходить на него, если оригиналы документов сданы? ;ORG
Когда выложат списки зачисленных в магистратуру на очное? Или может модно куда-то позвонить, чтобы спросить? ;RANG
Тампз-мтф по баллам 167,почему я себя не вижу в списках в общем конкурсе на бюджет и сколько человек там проходит?заявление было на опк и на контракт? ;RANG
Сколько стоит обучение на заочном(бакалавриат) в год за первый курс? и на сколько будет повышаться стоимость последующие курсы? ;ENTER
Здраствуйте а когда будут списки на зачисление , контракт, заочка? Выложили только бюджет(заочка) ;RANG
Во сколько начало зачисления (17.08) в магистратуру, автодорожный,направление САД? ;ORG
В какой кабинет обратиться, чтобы подать оригиналы документов на магистратуру, на строительный факультет? ;DOC
Подавала документы на магистратуру, на два направления АПР и ПГС2, оригиналы документов на АПР. Вчера на собеседовании спросили, на какое направление хочу идти, сказала, что на ПГС2. Ответили, что буду учавствовать в конкурсе на ПГС2, но в списках числюсь на АПР. Надо прийти и попросить, чтобы оригиналы документов перенесли на ПГС2? ;ORG
Я подал документы но не написал заявления на заочное можно до 20 числа подать и оплатить ? ;ORG
Я поступил на заочное отделение строительного факультета(бюджет), осенью когда начнется военный призыв, меня могут забрать в армию. Вопрос, смогу ли я взять академический отпуск и сохранится мою бюджетное место? ;ORG
Подскажите, пожалуйста, если не не успеваю мед справку сделать к зачислению, то можно позже ее сдать? ;DOC
В списках поступающих на гуманитарный факультет направление экономика,в магистратуру на очное отделение,допущена ошибка в среднем балле по диплому,обращалась с этим вопросом по телефону ранее,но данные не были исправлены.К кому можно обратиться?Спасибо. ;ORG
Когда появятся списки зачисленных на бюджет (заочное отделение)? ;RANG
В какой аудитории МТФ? ;ORG
По результатам экзаменов 12-й в списке,а бюджетных мест 10, 15.08 есть ли смысл приходить на зачисление или прийти должны только те,кто вошёл в десятку? (15.08.2018)  По оригинала -12 й ;ORG
Здравствуйте! Подскажите, пожалуйста, может ли прийти и оплатить 50% от стоимости обучения другой человек? (оплачиваю сама за себя)Нет возможности лично прийти и оплатить. ;ORG
Здравствуйте! Зачисление в магистратуру ДЛА будет 17.08 в 10:00, если нет возможности лично присутствовать в связи с работой,как быть? Оригинал диплома находится в приемной комиссии. И ещё,какие дополнительно документы требуются для зачисления, мед.справка по какой форме? ;ORG
Здравствуйте, поступаю на заочную форму обучения в БФ ПНИПУ. 15 августа зачисление. Необходимо лично  присутствовать на зачислении? и во сколько? ;ORG
По результатам экзаменов 12-й в списке,а бюджетных мест 10, 15.08 есть ли смысл приходить на зачисление или прийти должны только те,кто вошёл в десятку? ;ORG
Зачисление заочного на бюджет (ТСП) во сколько? ;ORG
Здравствуйте, какой интернет-провайдер в общежитиях на комплексе? ;HOST
А в какой аудитории будет зачисление бюджета электротехнического факультета 15.08.2018? ;ORG
Для очной магистратуры по направлению КЗИм зачисление будет какого числа? во сколько? и в каком кабинете? ;ORG
поступила на горно-нефтяной факультет(бюджет).Нуждаюсь в общежитии. от друзей узнала что направили в 5. можно узнать об этом подробнее, только на месте? заселение в это общежитие когда? ;HOST
Поступаю на электротехнический факультет, программная инженерия, вступительные пройдены успешно. Осенью призовут в РА, могу ли я оформить контракт и сразу академический отпуск без внесения половины суммы обучения или же первая сумма обязательна? Какие есть варианты решения такой ситуации? ;ORG
А карту банка «открытие» предоставят всем студентам или только кто на бюджете? ;ORG
Здравствуйте. Скажите,пожалуйста,можно ли еще подать оригиналы на экономику? ;DOC
Подскажите, если до 20 августа не заплачу по договору, то буду ли я в списке зачисленных? Можно ли оплатить позже? ;ORG
Подскажите, пожалуйста, стоимость обучения на заочном отделении, направление «Стратегический менеджмент и управление инновациями»? ;ENTER
Когда приходить на зачисление при поступлении на экономику фирмы магистратура заочная? И в какой кабинет? ;ORG
Добрый день. Было очное обучение, не закончен 4 курс, год отчисления 2015, гуманитарный факультет.  Подскажите, есть ли еще возможность восстановиться на заочную форму обучения на данный факультет?  14.08.2018 ;ENTER
Во сколько завтра будут зачислять АДФ заочное? ;ORG
Зачисление строительного факультета на бюджетные и платные места, приказ будет 15 августа в 10 часов, на сайт его выложат сразу? ;RANG
