question;class
Здравствуйте,не смотря на мой звонок 4.08 в 16.40 с просьбой оставить меня в списках на факультете МП и ТК, мое имя все таки перенесли на факультет  ЭКТ. Не потерял ли я шанс попасть на бюджет на факультет МП и ТК в случае появления вакантных мест во второй волне? В случае отсутствия  бюджетных мест , могу ли поступить на платное обучение на МП и ТК? Огромное спасибо всем Вам за подробные ответы, терпение!!!;ENTER
В приказах о зачислении меня нет,у меня 155 баллов.Вижу,что остались вакантные бюджетные места на всех факультетах. Скажите пожалуйста, будет ли вторая волна зачисления или прием на бюджетные места ограничен проходными баллами 190 (МПиТК), 174 (ЭТК), 155 (ЭТМО)?;RANG
скажите, а где смотреть списки зачисленных???;RANG
Здравствуйте.Как будут формироваться группы на факультете ПрИТ?Мы из Клина,учились в одном классе и все поступили на бюджет,будет ли это как-то учитываться при формировании групп,хотелось бы и дальше получать образование вместе,да и ездить веселее и безопаснее.Спасибо.;ORG
Здравствуйте!!!у меня вопросик)))Со скольки лет можно поступать на ИнЯз))*????;ORG
Здравствуйте,могу ли я передать через знакомых оригиналы документов,если окажусь в списке рекомендованных к зачислению?нужно ли для этого оформлять доверенность?Мне будет финансово сложно приехать в зеленоград;DOC
появился ли образец заявления на поступление 2011? не могу найти...;DOC
Здравствуйте! При подаче заявления о поступлении заявление писать нужно на имя ректора?;DOC
Скажите, пожалуйста, ксерокопировать нужно все страницы паспорта или только те, где фотография и кем выдан?;DOC
Здравствуйте!Скажите,пожалуйста:На какое количество факультетов я могу подать заявление в вашем институте?;ORG
здравствуйте ,хотел бы узнать про аккредитацию , которая действительна до 3 июля 2011 . когда вы вновь будете аккредитованы ?;ORG
Здравствуйте. Я собираюсь скоро сменить фамилию, а значит и в паспорте будет новая фамилия, а все остальные документы необходимые для поступление остались со старой фамилией. Их заменить я уже не успею. И сертификат с результатами ЕГЭ будет со старой фамилией и всё остальное. Кроме паспорта. Скажите, можно ли в приёмную комиссию предоставить справку о смене фамилии? Или так решить эту проблему не получится?;DOC
Доброго времени суток! Хотелось бы уточнить на каком этапе поступления необходимо приносить справку вида 086-у. И есть ли возможность донести её впоследствии? Заранее благодарен за ответ.;DOC
Здравстуйте! А когда будут выложены баллы всех абитуриентов подавших документы?;RANG
Скажите,пожалуйста, работает приемная комиссия 1 августа?;ENTER
5 августа будут зачислены только те кто был в списках рекомендованных и подал оригиналы? Т.е., обязательно будет 2-я волна?;RANG
Здравствуйте!  В заявлении-1 я указал бюджетную и платную форму обучения. Сдавая оригиналы документов,в заявлении-2 указал только платную форму обучения.Не лишил ли я себя  тем самым  шанса обучаться на бюджете при наличии вакансий? Что нужно сделать  в такой ситуации? Спасибо.;ORG
Здравствуйте! я бы хотела узнать, будет опубликован на оф. сайте список абитуриентов, подавших документы в МИЭТ, с их баллами ЕГЭ?;RANG
Здравствуйте! Я бы хотел поступить на факультет МПиТК , у меня по результатам егэ прошлого года 232 балла. в ранжированном списке я ниже 250 места. уже подали достаточно много оригиналов(около 235). если Вы наберете 250 человек до 4.08 закроете ли вы прием?(то есть если до меня оригинал подали люди с баллами меньше чем у меня и я до 4.08 принесу оригинал с большмим баллами могу ли я претендовать на их место?);RANG
Здравствуйте, подала документы на ИнЭУП 215 баллов, какова вероятность того что я могу быть зачислена 5 августа на бюджет?;RANG
Здравствуйте! Я подал оригиналы документов сразу в первые дни приема документов на факультеты ЭКТ и ЭТМО. Приоритетным выбрал ЭКТ и заявление-2 написал на этот факультет. У меня 197 баллов и по ситуации на сегодня уже нахожусь почти в конце списка. Какие у меня шансы поступить на ЭКТ ? Если шансы не велики, нужно писать до завтра заявление-2 на ЭТМО и как это сделать:позвонить в приемную комиссию или необходимо приехать?;RANG
Скажите, пожалуйста, что значит выделение зеленым цветом в списке поданных оригиналов?;RANG
Добрый день!Насколько мне известно, в первую волну проходят только те студенты, которые значатся в списках рекомендованных к зачислению, и которые принесли оригинал документов до 4 августа.А вы пишите, что конкурс проводится среди всех подавших оригиналы до 4 августа. Я заметила в списках подавших оригиналы есть лица, которые не рекомендованы к зачислению, вернее они находятся гораздо ниже выделенных строк. Я правильно поняла: они будут участвовать в первой волне? Спасибо.;RANG
Здравствуйте, скажите пожалуйста, я набрала 216 баллов, возможно ли поступить на факультет иностранных языков в первую волну?;RANG
Понимаю, что вопрос уже обсуждался, но ясности пока нет. Допустим, 27 июля кто-то оказался 151-м в рейтиноговом списке на ЭТМО, НЕ БЫЛ рекомендован к зачислению и НЕ принес подлинник до 4 августа. Может ли он оказаться в списке 5 августа? Или там будут только те, кто принес подлинники документов до 4 августа, т.е 165-й, 201-й и т.д?;RANG
Здравствуйте.  Скажите пожалуйста, если я не попадаю в список рекомендованних к обучению на бюджетной основе, могу  ли я оказаться в списке, рекомендованных к обучению на платной основе? И если вдруг моего имени вообще нет в списке рекомендованных к обучению (  в каком случае такое возможно?)- то оригиналы  документов можно вообще не приносить?  Или лучше в любом случае принести оригиналы документов? В заявлении я указал и бюджетную, и платную формы обучения.   Спасибо.;RANG
Скажите пожалуйста, если по закону все абитуриенты равны, и рекомендованы к зачислению будут студенты с наиболее высоким количеством баллов, то почему абитуриенты идут двумя списками  - подавшие сертификаты и нет, причем рейтинг по количеству баллов для последних даже не рассматривается. Все животные равны, но некоторые животные равнее? Таким образом сложно судить, есть ли у нас шансы или нет. Пожалуйста, сделайте общий список, если условия приема для всех равны, как Вы говорите.;RANG
То есть,если меня не было в списке рекомендованных,я решила подать оригинал во вторую волну,меня не зачислят,хотя у меня,например,200 баллов по егэ,потому что кто-то принёс оригинал в 1 волну на свободное место с,к примеру,120 баллами?;RANG
Дмитрий, подскажите, допустим я хочу поступить на ЭКТ и ЭТМО. ЭКТ является для меня приоритетным. Но я боюсь не пройду на него, так как у меня в сумме всего 182 балла, а проходной был 188 в прошлом году.. На ЭТМО ,думаю, должен пройти. Так вот, есть такая возможность ,,попробовать себя во второй волне на ЭКТ, но , если всё-таки не поступлю туда во второй волне,есть возможность остатся на ЭТМО? Ведь в заявлении-2 указывается 1 факультет, а я хочу на ЭКТ(пусть даже во второй волне), но в случае чего на ЭТМО пойти, чтоб не остатся с пустыми руками));RANG
Спасибо) Как я понял, второй волны лучше не ждать, а подавать на этмо, так как на ЭКТ 0 шансов пройти?? И ещё, можно ли перевестись потом с ЭТМО на ЭКТ? много ли таких случаев в МИЭТе?));RANG
Здравствуйте, я подал оригиналы на этмо, и хотел бы поступить с общежитием,заявлений 2 я сказал нуждаюсь у меня 167 баллов на данный момент я еще с списке, у меня такой вопрос могу ли я участвовать в конкурсе на поступление если вдруг я не попаду на общежитие а на учебу бюджет пройду?;RANG
Здравствуйте. А второй волны в МИЭТе не будет?;RANG
Здравствуйте, подскажите пожалуйста, возможно ли будет в последствии перейти с факультета ПрИТ на МП или ЭКТ, если там будут свободные места?;ORG
Скажите, на данный момент сколько бюджетных мест осталось свободно после первой волны?;ENTER
Вот у вас на сайте написано, что есть одно вакантное место на МПиТК. Можно ли как то забронировать это место с условием того, что я привезу оригинал в указанный срок??? Или также конкурс будет среди тех,кто привез оригинал???;ENTER
Здравствуйте! Подскажите,в этом году волна продлена до 25 июля,т.е результаты поступлений я узнаю только после 25?;RANG
Здравствуйте.Сегодня весь день пробовали дозвонится в приемную комиссию и не смогли.Если при подаче оригиналов я оставлю два варианта Заявления2 на ЭКТ и ЭТМО и на сайте увижу что на ЭКТ уже не прохожу а дозвонится не смогу будет ли учтено мое второе заявление автоматически?И есть ли шанс у меня попасть на ЭКТ при 199 баллах?;RANG
Добрый дeнь! Вот всe тут пeрeчитaлa и всe жe eсть нeкоторыe нeдопонимaния. Я сдaлa докумeнты в 5 рaзных ВУЗов. Вeздe я покa только в рeзeрвe,но я нaдeюсь,что пройду во второй волнe. Мнe обязaтeльно сдaвaть подлинники в один из вузов,гдe у мeня большe шaнсов пройти? Или я могу дождaться рeзультaтов 2 волны,и потом,выбрaв вуз,гдe я прошлa,прeдостaвить оригинaлы? Объяснитe,пожaлуйстa! Зaрaнee спaсибо!);RANG
Здравствуйте, Если уже были изданы приказы о зачислении и все вакантные места на бюджет заняты,не значит ли это, что не будет второй волны зачисления? Спасибо;RANG
